0,12
1,7
10,3
11,0
12,20
13,30
14,2
15,0
16,19
17,13
18,21
19,12
2,3
20,10
21,5
22,30
23,20
24,7
25,24
26,1
27,9
28,32
29,25
3,0
30,43
31,11
32,21
33,6
34,27
35,3
36,28
37,38
38,25
39,30
4,14
40,11
41,19
42,7
43,14
44,7
45,23
46,0
47,18
48,8
49,3
5,2
50,8
51,4
52,5
53,1
54,2
55,18
56,25
57,10
58,2
59,10
6,5
60,25
61,1
62,1
63,0
64,7
65,1
66,0
67,3
68,16
69,2
7,4
70,25
71,16
72,11
73,7
74,13
75,31
76,4
77,0
78,28
79,10
8,2
80,14
81,9
82,11
83,0
84,8
85,37
86,9
87,15
88,22
89,11
9,20
90,20
91,16
92,38
93,0
94,7
95,35
96,0
97,16
98,8
99,30
