0,2
1,5
10,19
11,1
12,1
13,37
14,27
15,6
16,32
17,4
18,17
19,26
2,15
20,3
21,31
22,0
23,4
24,1
25,1
26,38
27,23
28,0
29,7
3,27
30,30
31,4
32,1
33,5
34,4
35,13
36,1
37,1
38,22
39,8
4,6
40,4
41,10
42,1
43,0
44,2
45,0
46,3
47,1
48,9
49,11
5,36
50,40
51,9
52,10
53,21
54,18
55,25
56,27
57,2
58,13
59,47
6,34
60,0
61,15
62,7
63,37
64,23
65,48
66,23
67,26
68,10
69,1
7,19
70,0
71,22
72,23
73,0
74,9
75,16
76,3
77,4
78,14
79,6
8,3
80,0
81,7
82,20
83,3
84,2
85,27
86,20
87,0
88,2
89,0
9,0
90,9
91,32
92,1
93,4
94,5
95,18
96,5
97,5
98,13
99,0
